title,department,location,posting_date,remote,region,url
(Associate) Team Lead - Data Operations,Data Operations,"Belgrade, Serbia",Not specified,No,Europe,https://careers.veeva.com/job/associate-team-lead-data-operations-belgrade-serbia
(Associate) Team Lead - Data Operations,Data Operations,"Lisbon, Portugal",Not specified,No,Europe,https://careers.veeva.com/job/associate-team-lead-data-operations-lisbon-portugal
(Associate) Team Lead - Data Operations,Data Operations,"Barcelona, Spain",Not specified,No,Europe,https://careers.veeva.com/job/associate-team-lead-data-operations-barcelona-spain
Account Director,Professional Services,"Lyndhurst, NJ",Not specified,No,United States,https://careers.veeva.com/job/account-director-lyndhurst-nj
Account Partner,Sales,"Bern, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-bern-switzerland
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-basel-switzerland
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-zurich-switzerland
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-basel-switzerland
Account Partner,Sales,"Copenhagen, Denmark",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-copenhagen-denmark
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-basel-switzerland
Account Partner,Sales,"Paris, France",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-paris-france
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-zurich-switzerland
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-zurich-switzerland
Account Partner,Sales,"Frankfurt, Germany",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-frankfurt-germany
Account Partner,Sales,"Munich, Germany",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-munich-germany
"Account Partner (Clinical Suite), Medical Device & Diagnostics",Sales,"Frankfurt, Germany",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-clinical-suite-medical-device-diagnostics-frankfurt-germany
"Account Partner (Clinical Suite), Medical Device & Diagnostics",Sales,"Paris, France",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-clinical-suite-medical-device-diagnostics-paris-france
Account Partner (Global Accounts),Sales,"Zürich, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-global-accounts-zurich-switzerland
Account Partner (Global Accounts),Sales,"Basel, Switzerland",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-global-accounts-basel-switzerland
"Account Partner (Quality Cloud), Medical Device & Diagnostics",Sales,"Frankfurt, Germany",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-quality-cloud-medical-device-diagnostics-frankfurt-germany
"Account Partner (Quality Cloud), Medical Device & Diagnostics",Sales,"Paris, France",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-quality-cloud-medical-device-diagnostics-paris-france
Account Partner - China CRO,Sales,"Shanghai, China",Not specified,No,Asia Pacific,https://careers.veeva.com/job/account-partner-china-cro-shanghai-china
Account Partner - Commercial,Sales,"Tokyo, Japan",Not specified,No,Asia Pacific,https://careers.veeva.com/job/account-partner-commercial-tokyo-japan
Account Partner - Commercial MedTech,Sales,"Frankfurt, Germany",Not specified,No,Europe,https://careers.veeva.com/job/account-partner-commercial-medtech-frankfurt-germany
Account Partner - CRO,Sales,"Shanghai, China",Not specified,No,Asia Pacific,https://careers.veeva.com/job/account-partner-cro-shanghai-china
Account Partner - Crossix Agency Sales,Sales,"Lyndhurst, NJ",Not specified,No,United States,https://careers.veeva.com/job/account-partner-crossix-agency-sales-lyndhurst-nj
Account Partner - Crossix Agency Sales,Sales,"Philadelphia, PA",Not specified,No,United States,https://careers.veeva.com/job/account-partner-crossix-agency-sales-philadelphia-pa
Account Partner - Crossix Agency Sales,Sales,"New York City, NY",Not specified,No,United States,https://careers.veeva.com/job/account-partner-crossix-agency-sales-new-york-city-ny
Account Partner - Crossix Audiences,Sales,"Boston, MA",Not specified,No,United States,https://careers.veeva.com/job/account-partner-crossix-audiences-boston-ma
Account Partner - Crossix Audiences,Sales,"Philadelphia, PA",Not specified,No,United States,https://careers.veeva.com/job/account-partner-crossix-audiences-philadelphia-pa
