title,department,openings,locations,all_locations,regions,remote_available
Senior Software Engineer - Java,Engineering,12,"Bend, OR; Boston, MA; Columbus, OH (and 9 more)","Bend, OR | Boston, MA | Columbus, OH | Hyderabad, India | Indianapolis, IN | Ottawa, Canada | Portland, ME | Portland, OR | San Luis Obispo, CA | Toronto, Canada","Asia Pacific, Canada, United States",No
Account Partner,Sales,11,"Basel, Switzerland; Bern, Switzerland; Copenhagen, Denmark (and 8 more)","Basel, Switzerland | Bern, Switzerland | Copenhagen, Denmark | Frankfurt, Germany | Munich, Germany | Paris, France | Zürich, Switzerland",Europe,No
Principal Software Engineer - Java,Engineering,11,"Bend, OR; Boston, MA; Ottawa, Canada (and 8 more)","Bend, OR | Boston, MA | Ottawa, Canada | Pleasanton, CA | Portland, ME | Portland, OR | Raleigh, NC | San Luis Obispo, CA | Toronto, Canada","Canada, United States",No
Senior Software Engineer - SRE,Engineering,11,"Bend, OR; Boston, MA; Honolulu, HI (and 8 more)","Bend, OR | Boston, MA | Honolulu, HI | Los Angeles, CA | Ottawa, Canada | Portland, OR | San Luis Obispo, CA | Toronto, Canada | Vancouver, Canada","Canada, United States",No
Senior Software Engineer - Full Stack,Engineering,10,"Bend, OR; Boston, MA; Portland, ME (and 7 more)","Bend, OR | Boston, MA | Portland, ME | Portland, OR | Raleigh, NC | San Luis Obispo, CA | Toronto, Canada | Vancouver, Canada","Canada, United States",No
Senior AI Data Engineer,Engineering,9,"Bend, OR; Boston, MA; Ottawa, Canada (and 6 more)","Bend, OR | Boston, MA | Ottawa, Canada | Portland, ME | Portland, OR | San Luis Obispo, CA | Toronto, Canada","Canada, United States",No
Senior Software Engineer - Front End,Engineering,8,"Bend, OR; Ottawa, Canada; Pleasanton, CA (and 5 more)","Bend, OR | Ottawa, Canada | Pleasanton, CA | Portland, OR | San Luis Obispo, CA | Toronto, Canada | Vancouver, Canada","Canada, United States",No
Associate Business Consultant - Life Sciences R&D and Quality,Recent University Graduates,6,"Barcelona, Spain; Berlin, Germany; Boston, MA (and 3 more)","Barcelona, Spain | Berlin, Germany | Boston, MA | Frankfurt, Germany | London, United Kingdom | New York City, NY","Europe, United States",No
Field Representatives (Contractor),Sales,6,"Changhua, Taiwan; Hsinchu, Taiwain; Kaohsiung, Taiwan (and 3 more)","Changhua, Taiwan | Hsinchu, Taiwain | Kaohsiung, Taiwan | Taichung, Taiwan | Tainan, Taiwan | Taipei, Taiwan",Asia Pacific,No
Principal Software Engineer - Full Stack,Engineering,6,"Bend, OR; Boston, MA; Pleasanton, CA (and 3 more)","Bend, OR | Boston, MA | Pleasanton, CA | Portland, OR | San Luis Obispo, CA",United States,No
Product Support Engineer,Product Support,6,"Budapest, Hungary; Hiroshima, Japan; Seoul, South Korea (and 3 more)","Budapest, Hungary | Hiroshima, Japan | Seoul, South Korea | Tokyo, Japan | Warsaw, Poland","Asia Pacific, Europe",No
