title,department,location,posting_date,remote,region,url
Consultant - Patient Analytics,Business Consulting,"Chicago, IL",Not specified,No,United States,https://careers.veeva.com/job/consultant-patient-analytics-chicago-il
Consultant - Patient Analytics,Business Consulting,"Boston, MA",Not specified,No,United States,https://careers.veeva.com/job/consultant-patient-analytics-boston-ma
Consultant - Patient Analytics,Business Consulting,"Raleigh, NC",Not specified,No,United States,https://careers.veeva.com/job/consultant-patient-analytics-raleigh-nc
Director - Veeva Validation Management Strategy,Strategy,"Raleigh, NC",Not specified,No,United States,https://careers.veeva.com/job/director-veeva-validation-management-strategy-raleigh-nc
Director - Veeva Validation Management Strategy,Strategy,"San Francisco, CA",Not specified,No,United States,https://careers.veeva.com/job/director-veeva-validation-management-strategy-san-francisco-ca
Director - Veeva Validation Management Strategy,Strategy,"Boston, MA",Not specified,No,United States,https://careers.veeva.com/job/director-veeva-validation-management-strategy-boston-ma
Full Stack Engineer,Business Consulting,"Kansas City, MO",Not specified,No,United States,https://careers.veeva.com/job/full-stack-engineer-kansas-city-mo
Full Stack Engineer,Business Consulting,"Philadelphia, PA",Not specified,No,United States,https://careers.veeva.com/job/full-stack-engineer-philadelphia-pa
Full Stack Engineer,Business Consulting,"Boston, MA",Not specified,No,United States,https://careers.veeva.com/job/full-stack-engineer-boston-ma
Learning Strategy Consultant,Strategy,"Boston, MA",Not specified,No,United States,https://careers.veeva.com/job/learning-strategy-consultant-boston-ma
Learning Strategy Consultant,Strategy,"San Francisco, CA",Not specified,No,United States,https://careers.veeva.com/job/learning-strategy-consultant-san-francisco-ca
Migration Consultant,Professional Services,"London, United Kingdom",Not specified,No,Europe,https://careers.veeva.com/job/migration-consultant-london-united-kingdom
Solution Consultant - China Safety,Sales,"Suzhou, China",Not specified,No,Asia Pacific,https://careers.veeva.com/job/solution-consultant-china-safety-suzhou-china
