date,total_jobs,top_departments
2026-01-03,18,Not specified: 18
2026-01-05,18,Not specified: 18
2026-01-14,24,Not specified: 24
2026-01-21,22,Not specified: 22
2026-01-27,25,Not specified: 25
2026-01-28,25,Not specified: 25
2026-01-29,24,Not specified: 24
2026-01-30,24,Not specified: 24
2026-01-31,26,Not specified: 26
2026-02-01,26,Not specified: 26
2026-02-02,26,Not specified: 26
2026-02-03,26,Not specified: 26
2026-02-04,24,Not specified: 24
2026-02-05,22,Not specified: 22
2026-02-06,24,Not specified: 24
2026-02-07,23,Not specified: 23
2026-02-08,23,Not specified: 23
2026-02-09,23,Not specified: 23
2026-02-10,22,Not specified: 22
2026-02-11,20,Not specified: 20
2026-02-12,21,Not specified: 21
2026-02-13,22,Not specified: 22
2026-02-14,20,Not specified: 20
2026-02-15,20,Not specified: 20
2026-02-16,20,Not specified: 20
2026-02-20,20,Not specified: 20
2026-02-21,40,Not specified: 40
