title,department,openings,locations,all_locations,regions,remote_available
Solution Consultant HCM,Not specified,5,"France, Paris; Italy, Milan; Netherlands, Amsterdam (and 2 more)","France, Paris | Italy, Milan | Netherlands, Amsterdam | Poland, Warsaw",Not specified,No
Account Executive - Medium Enterprise,Not specified,4,"2 Locations; Canada, QC, Montreal; USA, NY, New York City (and 1 more)","2 Locations | Canada, QC, Montreal | USA, NY, New York City",Not specified,No
"Manager, Software Development Engineering",Not specified,4,"2 Locations; Costa Rica; Israel, Tel Aviv (and 1 more)","2 Locations | Costa Rica | Israel, Tel Aviv | USA, GA, Atlanta",Not specified,No
"Product Specialist - Workday Platform (Workday Build, Workday Data Cloud) and AI Agents",Not specified,4,"4 Locations; 7 Locations; Canada, ON, Toronto (and 1 more)","4 Locations | 7 Locations | Canada, ON, Toronto | Singapore",Not specified,No
Senior Engagement Manager,Not specified,4,"Japan, Tokyo; MEX.Zapopan; United Kingdom, London (and 1 more)","Japan, Tokyo | MEX.Zapopan | United Kingdom, London",Not specified,No
Enterprise Architect,Not specified,3,"4 Locations; Malaysia, Kuala Lumpur","4 Locations | Malaysia, Kuala Lumpur",Not specified,No
Sales Development Representative,Not specified,3,"USA, CA, San Francisco; USA, IL, Chicago; USA, UT, Salt Lake City","USA, CA, San Francisco | USA, IL, Chicago | USA, UT, Salt Lake City",Not specified,No
Account Executive - FSI,Not specified,2,2 Locations; 5 Locations,2 Locations | 5 Locations,Not specified,No
Account Executive - Large Enterprise,Not specified,2,"4 Locations; THA, Remote","4 Locations | THA, Remote",Not specified,Yes
"Account Executive - Medium Enterprise, Net New, Public Sector",Not specified,2,"2 Locations; Canada, ON, Toronto","2 Locations | Canada, ON, Toronto",Not specified,No
Channel Account Executive,Not specified,2,"Italy, Milan; Poland, Warsaw","Italy, Milan | Poland, Warsaw",Not specified,No
Cybersecurity Engineer,Not specified,2,"IND.Chennai; Ireland, Dublin","IND.Chennai | Ireland, Dublin",Not specified,No
Engagement Manager,Not specified,2,"Sweden, Stockholm; United Kingdom, London","Sweden, Stockholm | United Kingdom, London",Not specified,No
Product Manager,Not specified,2,"Ireland, Dublin","Ireland, Dublin",Not specified,No
Production Readiness Manager,Not specified,2,"IND.Pune; Poland, Warsaw","IND.Pune | Poland, Warsaw",Not specified,No
Senior Account Executive,Not specified,2,"JPN.Osaka; Japan, Tokyo","JPN.Osaka | Japan, Tokyo",Not specified,No
"Senior Devops Engineer, Alpaca Engineer (US Federal)",Not specified,2,"USA, VA, McLean","USA, VA, McLean",Not specified,No
Senior Engineer (Tech Lead) - Application Development,Not specified,2,IND.Chennai,IND.Chennai,Not specified,No
Senior Functional Consultant - Financials,Not specified,2,"4 Locations; Japan, Tokyo","4 Locations | Japan, Tokyo",Not specified,No
