date,total_jobs,top_departments
2026-01-03,40,Not specified: 40
2026-01-05,40,Not specified: 40
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,102,Not specified: 102
2026-02-08,101,Not specified: 101
2026-02-09,101,Not specified: 101
2026-02-10,95,Not specified: 95
2026-02-11,95,Not specified: 95
2026-02-12,94,Not specified: 94
2026-02-13,93,Not specified: 93
2026-02-14,93,Not specified: 93
2026-02-15,93,Not specified: 93
2026-02-16,93,Not specified: 93
2026-02-20,94,Not specified: 94
2026-02-22,81,Not specified: 81
2026-02-23,82,Not specified: 82
2026-02-24,83,Not specified: 83
2026-02-25,83,Not specified: 83
2026-02-26,82,Not specified: 82
2026-02-27,82,Not specified: 82
2026-02-28,80,Not specified: 80
2026-03-01,80,Not specified: 80
2026-03-02,80,Not specified: 80
2026-03-03,72,Not specified: 72
2026-03-04,69,Not specified: 69
2026-03-05,72,Not specified: 72
2026-03-06,67,Not specified: 67
2026-03-07,69,Not specified: 69
2026-03-08,70,Not specified: 70
2026-03-09,70,Not specified: 70
