date,total_jobs,top_departments
2026-01-27,58,Client Services - Global Solutions: 11; Sales - Global Solutions: 7; Client Services - Residential: 7; Professional Services - Global Solutions: 5; Client Services - Breeze: 4
2026-01-28,62,Client Services - Global Solutions: 12; Sales - Global Solutions: 7; Client Services - Residential: 7; Professional Services - Global Solutions: 5; Client Services - Breeze: 4
2026-01-29,65,Client Services - Global Solutions: 14; Client Services - Residential: 8; Sales - Global Solutions: 7; Professional Services - Global Solutions: 5; Client Services - Breeze: 4
2026-01-30,64,Client Services - Global Solutions: 14; Sales - Global Solutions: 7; Client Services - Residential: 7; Professional Services - Global Solutions: 5; Operations - Corporate: 4
2026-01-31,66,Client Services - Global Solutions: 14; Sales - Global Solutions: 7; Client Services - Residential: 7; Professional Services - Global Solutions: 5; Operations - Corporate: 4
2026-02-02,66,Client Services - Global Solutions: 14; Sales - Global Solutions: 7; Client Services - Residential: 7; Professional Services - Global Solutions: 5; Operations - Corporate: 4
2026-02-03,73,Client Services - Global Solutions: 14; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-04,74,Client Services - Global Solutions: 14; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-05,76,Client Services - Global Solutions: 14; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-06,74,Client Services - Global Solutions: 13; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-07,72,Client Services - Global Solutions: 13; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-08,72,Client Services - Global Solutions: 13; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-09,72,Client Services - Global Solutions: 13; Client Services - Residential: 10; Sales - Global Solutions: 7; Operations - Corporate: 4; Sales - Residential: 4
2026-02-10,75,Client Services - Global Solutions: 13; Client Services - Residential: 9; Sales - Global Solutions: 6; Operations - Corporate: 4; Sales - Residential: 4
